"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","server","",""
"protocol_negotiated","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.psyenfantado.sante.gouv.fr/185.21.194.105","443","INFO","yes","",""
