"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered with final","",""
"ALPN_HTTP2","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipherorder_TLSv1_2","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","server","",""
"protocol_negotiated","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","template.fabrique.social.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"sessionresumption_ID","template.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
