"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered with final","",""
"ALPN_HTTP2","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipherorder_TLSv1_2","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","server","",""
"protocol_negotiated","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"sessionresumption_ID","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"TLS_timestamp","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","random","",""
"certificate_compression","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","none","",""
"clientAuth","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","none","",""
"cert_numbers","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","1","",""
"cert_signatureAlgorithm","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","OK","SHA256 with RSA","",""
"cert_keySize","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","03300A24DB3BA7D2B03F75C6145D7E387E39","",""
"cert_serialNumberLen","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","18","",""
"cert_fingerprintSHA1","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","E1C4375636C5EC857B51EAD90AA40A5C34BB4D6F","",""
"cert_fingerprintSHA256","emjpm.fabrique.social.gouv.fr/20.74.14.77","443","INFO","059E53081F2B250DEDDE44CAEB18018FABBE23C39B2E46ED240912A1D9F00346","",""
