"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","medle.fabrique.social.gouv.fr/185.194.82.223","443","INFO","HTTP","",""
"pre_128cipher","medle.fabrique.social.gouv.fr/185.194.82.223","443","INFO","No 128 cipher limit bug","",""
"SSLv2","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","not offered","",""
"SSLv3","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","not offered","",""
"TLS1","medle.fabrique.social.gouv.fr/185.194.82.223","443","INFO","not offered","",""
"TLS1_1","medle.fabrique.social.gouv.fr/185.194.82.223","443","INFO","not offered","",""
"TLS1_2","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","offered","",""
"TLS1_3","medle.fabrique.social.gouv.fr/185.194.82.223","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","medle.fabrique.social.gouv.fr/185.194.82.223","443","INFO","not offered","",""
"cipherlist_NULL","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","not offered","","CWE-327"
"cipherlist_LOW","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","medle.fabrique.social.gouv.fr/185.194.82.223","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","medle.fabrique.social.gouv.fr/185.194.82.223","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","medle.fabrique.social.gouv.fr/185.194.82.223","443","INFO","not offered","",""
"cipherlist_STRONG","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","offered","",""
"cipherorder_TLSv1_2","medle.fabrique.social.gouv.fr/185.194.82.223","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","server","",""
"protocol_negotiated","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","offered","",""
"FS_ciphers","medle.fabrique.social.gouv.fr/185.194.82.223","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","medle.fabrique.social.gouv.fr/185.194.82.223","443","OK","prime256v1 secp384r1","",""
