"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered with final","",""
"ALPN_HTTP2","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipherorder_TLSv1_2","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","server","",""
"protocol_negotiated","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"sessionresumption_ID","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"TLS_timestamp","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","random","",""
"certificate_compression","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","none","",""
"clientAuth","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","none","",""
"cert_numbers","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","1","",""
"cert_signatureAlgorithm","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","SHA256 with RSA","",""
"cert_keySize","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","03F157F3D45EAF437202AA77BC3D3429C242","",""
"cert_serialNumberLen","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","18","",""
"cert_fingerprintSHA1","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","F243FB4B36B822A1DB87D0E085FE03B3A790AEFE","",""
"cert_fingerprintSHA256","admin-domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","F3E06A94A444A34630A4DF7162B24FE6638FCF9E91575D94B324EBBADD24057B","",""
